,tweet,emoji,polarity,emotion
54,"@joan_cpc Thank you.😊 sorry for the late response, indeed we need good energy to get us through this tragedy.
#Ukraine 🇺🇦 

Prayers for Ukraine 🇺🇦 

This T-shirt came today, it is from @MercyChefs feeding refugees in Poland. Or @WCKitchen @chefjoseandres 
Donate anything you can. https://t.co/oJAegTvtYG",['😊'],1,1
55,Oh no. 😅 #Russian 🇷🇺 arctic vehicle didn't last very long in #Ukraine 🇺🇦. This seized self-propelled howitzer is going be used against its former masters. https://t.co/gqIM6YXOid,['😅'],1,1
56,Goodnight #Ukraine. Stay safe people and never let the Russian army build a bridge for you. 😆 https://t.co/aaDoZEL6AM,['😆'],1,1
57,Goodnight #Ukraine. Stay safe people and never let the Russian army build a bridge for you. 😆 https://t.co/aaDoZEL6AM,['😆'],1,1
58,Havent seen any commie Texas man videos lately just vanished like an old fart in the wind 😂 #RussellBentley #Ukraine https://t.co/Yl5rRCGO7j,['😂'],1,1
59,"What a day!🤠 Incredibly insightful @BloorStreetCap #Uranium Conference 3.0👏 at same time as US Senate Committee Hearing on #Mining of #CriticalMinerals &amp; #Uranium⛏️ as #Russia withdraws from Chernobyl, plus new #Nuclear expansion in India, #UK, and more.🚀⚛️😃 Nap time!😩 https://t.co/weaE5a5mz9",['😃'],1,1
60,Ukrainian cartoonists are getting in on poking fun at Putins failed war efforts. Failures with fuel supply logistics 30 miles from your border is laughable haha 🤣 #Ukraine #russia https://t.co/zoB0r1M9Rn,['🤣'],1,1
61,Goodnight #Ukraine. Stay safe people and never let the Russian army build a bridge for you. 😆 https://t.co/aaDoZEL6AM,['😆'],1,1
62,"Oh Jessie 😍🐾   UAnimals have shared the wonderful story of a little pup called Jessie. Born during war, cared for and loved by #Ukraine soldiers. Animals have a massive part to play in war &amp; little Jessie is so loved. 💙💛 #ukraineanimals Photo: UAnimals https://t.co/Fe8X4SljZX",['😍'],1,1
63,"Breaks in #Zelensky ""Fake"" Government &amp; Nazi ""Army."" Watch It Fall Apart Very Quickly Soon!🤫#Ukrainians DON'T WANT THIS😟😠 https://t.co/nqk1iT8uDZ #msnbc #foxnews #nytimes #wsj #politico #huffpost #newsmax #gop #npr #fox #nyt #wapo #nbc #cbs #NATO #EU #g7 #drudge #germany #lviv",['😠'],0,4
64,"Breaks in #Zelensky ""Fake"" Government &amp; Nazi ""Army."" Watch It Fall Apart Very Quickly Soon!🤫#Ukrainians DON'T WANT THIS😟😠 https://t.co/nqk1iT8uDZ #msnbc #foxnews #nytimes #wsj #politico #huffpost #newsmax #gop #npr #fox #nyt #wapo #nbc #cbs #NATO #EU #g7 #drudge #germany #lviv",['😠'],0,4
65,"Waiting for this moment😅
#Ukraine #UkraineWar #Putin #PutinWarCriminal https://t.co/UTMApXKaCR",['😅'],1,1
66,@nexta_tv 😂😂😂 Like anybody would want to go to #Russia (on holiday)… in which world are they living 🏖😅,"['😂', '😂', '😂', '😅']",1,1
67,"Yesterday in Brussels during a peaceful strike...
Devastating to see even our kids having to fight for freedom and suffering from this war 💔😓
#Ukraine️ #UkraineRussiaWar #UkraineWar #PeaceAndJustice https://t.co/FSJrW7I59G",['😓'],0,3
68,"His day close😂
#VoteThemOut 
#DemVoice1 
#wtpBLUE 
#SlavaUkraine 🌻
#Zelenskyy🇺🇦 https://t.co/GeLeDwFDof https://t.co/sohhMJ44bK",['😂'],1,1
69,"This one is hilarious 🤣: 
https://t.co/u4RU2xBm6z
https://t.co/u4RU2xBm6z
#WillAndChris #JadaPinkettSmith #USA #ChrisRock #meme #Memes #cineSmith #Bidenflation #BidenCrimeFamilly #biden #WillSmithAssault #Oscars2022 #Oscars #AcademyAwards #gasprices #Gaslighting #GasPrice https://t.co/aG5UexM2xy",['🤣'],1,1
70,"@lapatina_ Evil #RussianWarCriminals 😡😡😡
#UkraineWillPrevail
#WeStandWithUkraine ✊🇺🇦✊
#RussianWarCrimes
🆘 #StopRussia 🆘","['😡', '😡', '😡']",0,4
71,"This one is hilarious 🤣: 
https://t.co/nKT0rO9UeL
https://t.co/nKT0rO9UeL
#gasstation #gas #gaspump #fuel #oil #gasoline #gasandoil #petroliana #car #diesel #gasprices #BidenIsADisgrace #BidenWorstPresidentEver #BidenIsALaughingstock #BidenGasCrisis #WillSmithAssault #WillSmith https://t.co/Z7ku962sU8",['🤣'],1,1
72,"What type of nuclear code verification system does #Russia #Putin have???? Does he have that much control? 😬 Or will #Russian ""troops/nuke launchers"" NOT follow that order, too? 🙏🏾 for #Ukraine &amp; 🌏. @POTUS @JoeBiden @CNN @wolfblitzer @AC360 @donlemon @brikeilarcnn @kylieatwood",['😬'],0,6
73,"Hello World,

this picture is 77 years old, Berlin in Spring 1945.
Unfortunately we see these pictures again today,
#Ukraine in Spring 2022 . . .

#ThrowbackThursday and present. Terrible.   😔

💙       🇺🇦       👊       🇺🇦       💛 https://t.co/OSTaxOKBi9",['😔'],0,3
74,"To homeless people.....*I want everyone to go HOME,* are you freaking serious?  Maxine Waters, Dems in general, are a joke 😂
#Biden #USA #Democrats https://t.co/xDDlNS7VyS",['😂'],1,1
75,IT WAS APRIL FOOLS UNTIL 👇Press Play😂😂Fear the gender bro.. 😂#AprilFools #AprilFools #AprilFoolDay #CSKvLSG #putin #russia #ukraine #newsgang #NetflixKenya #FridayMotivation #teargasonnrg https://t.co/0ZAWvElwos,"['😂', '😂', '😂']",1,1
76,😔 not cool #UkraineRussianWar #russianinvasion https://t.co/XNtEb1T9qo,['😔'],0,3
77,"Poor, Poor #XiJinping his master plan #UkraineRussiaWar to force #NATO hand hasn't worked. Now he is going to damage his own country currency by undermining the dollar, he thinks🙄 Will he colonize #Russia first 🤣 https://t.co/7CfNzkINTb",['🤣'],1,1
78,"#Putin is killing souls on both sides of this invasion 🤬 🤯

#PutinWarCrimes #PutinIsaWarCriminal https://t.co/6XILqHL94n",['🤬'],0,4
79,"#Russia's army. The best of the best. 😬

Glory to #Ukraine! 🇺🇦✊🏻 https://t.co/WTSOpM78xa",['😬'],0,6
80,Goodnight #Ukraine. Stay safe people and never let the Russian army build a bridge for you. 😆 https://t.co/aaDoZEL6AM,['😆'],1,1
81,biden’s cheat sheet and still wont cover up the mess he made with this 😂 #BidenIsALaughingstock #BidenIsADisgrace #BidenCrimeFamilly #biden #BidenHarris https://t.co/HCSsl8JSc8,['😂'],1,1
82,"#Putin is killing souls on both sides of this invasion 🤬 🤯

#PutinWarCrimes #PutinIsaWarCriminal https://t.co/6XILqHL94n",['🤬'],0,4
83,"#Russia's army. The best of the best. 😬

Glory to #Ukraine! 🇺🇦✊🏻 https://t.co/WTSOpM78xa",['😬'],0,6
84,Meanwhile in Belarus... 🤣🤣🤣 #Belarus #Russia #Ukraine #UkraineRussianWar #Lukashenko #PutinsWar #FckPutin #Anonymous #Mariupol #Irpin #funny https://t.co/mjI0JhDsUo,"['🤣', '🤣', '🤣']",1,1
85,"😢😒😎...yes I feel disconsolate about this particular issue and so many others based on science and our altered climate. We all can make a difference #Resistance . Lobby , engage, boycott, recycle,clean, #Trudeau  #Biden we have to save this baby . Let’s start today ✌️💜🙏🇺🇸🇨🇦🌞 https://t.co/yhxsYRV209",['😢'],0,3
86,Goodnight #Ukraine. Stay safe people and never let the Russian army build a bridge for you. 😆 https://t.co/aaDoZEL6AM,['😆'],1,1
87,"This is how drivers are now bypassing the mined road by Russians near Borodyanka😬😬

#Ukraine #Russia #Zelensky #Putin

 https://t.co/nNoL2Ad9Na","['😬', '😬']",0,6
88,"Compelling address to Australia's parliament. 😢
#Zelenskyy speaks about the destruction by #RussianAggression of #Ukraine's #Mriya, the marvelous plane that delivered aid around the world. I've seen little said about this by American news outlets. https://t.co/KqEoORwDfD",['😢'],0,3
89,"Follow up on her story .  And there she is again , wearing the same scarf and  still fighting  😃, today with her #Ukrainian troops that, have  reportedly entered  Nova Basan in #Chernihiv Oblast on 31-03-2022 #Ukraine #UkraineRussiaWar https://t.co/GY22mypXzb",['😃'],1,1
90,"#Australian shopping centres are carrying saturation recruitment propaganda aimed at young people who want to be heroes and travel the world .. to disgrace and death in the next foreign wars after #Afghanistan, #Iraq and #Syria .. perhaps #Ukraine and #China? 😬 https://t.co/XnkuvUuRLe",['😬'],0,6
91,"@JonLemire 🌻🌻 Why should we be surprised that @mfa_russia blocked the buses from getting in to #Mariupol to evacuate over 100,000 Ukrainians 

👉🏼 Today the Russian approved humanitarian trucks into Mariupol then hijacked the food and supplies 😡

#HelpUkraine 🇺🇦
#SlavaUkraini 🇺🇦",['😡'],0,4
92,"Follow up on the Ukrainian girl story i posted earlier.  There she is again , wearing the same scarf and  still fighting  😃,  with her #Ukrainian troops, that have  reportedly entered today on 31-03-2022,   Nova Basan in #Chernihiv Oblast  #Ukraine #UkraineRussiaWar https://t.co/0TTXnMSvvP",['😃'],1,1
93,"@MFA_Ukraine @ZelenskyyUa Truly EVIL #RussianWarCriminals 😡😡😡
#UkraineWillPrevail
#WeStandWithUkraine ✊🇺🇦✊
#RussianWarCrimes
🆘 #StopRussia 🆘","['😡', '😡', '😡']",0,4
94,The #Russians have turned over #Chernobyl back to the #Ukraine experts.  🤣🤣🤣☢️☢️☢️ #DumbFucks.,"['🤣', '🤣', '🤣']",1,1
95,"Follow up on the Ukrainian girl story i posted earlier.  There she is again , wearing the same scarf and  still fighting  😃,  with her #Ukrainian troops, that have  reportedly entered today on 31-03-2022,   Nova Basan in #Chernihiv Oblast  #Ukraine #UkraineRussiaWar https://t.co/0TTXnMSvvP",['😃'],1,1
96,"A “massive” amount of #illegals are walking across US Border into TX and AZ‼️ #Biden &amp; #DEMOCRATS are doing NOTHING ABOUT THIS‼️ 😡 THIS FAILURE by BIDEN is #IMPEACHABLE‼️ESTIMATED 1 #MiLLION COMING‼️ 
    #VoteOutDemocrats https://t.co/BKKxCRjOvj",['😡'],0,4
97,"@OlegNikolenko_ @duty2warn They add now getting people drafted in Russia.
Is horrible to been assaulted rape vandalize ! I feel like they are so mean 😡 
#SlavaUkraini🇺🇦🌻",['😡'],0,4
98,"#Ukraine has led to heated debates between myself &amp; my closest friends in #Germany, where I no longer live. Unlike them, I support 🇩🇪  being able to defend itself: no #Peace now without defensive capabilities. My friends? Outraged! They say I’m betraying our Pacifist roots. 😔☮️",['😔'],0,3
99,"@MFA_Ukraine Evil invaders #RussianWarCriminals 😡😡😡
#UkraineWillPrevail
#WeStandWithUkraine ✊🇺🇦✊
#RussianWarCrimes
🆘 #StopRussia 🆘","['😡', '😡', '😡']",0,4
100,"True because India can defend herself. And @POTUS is defending #Ukraine 😆

Russia won't defend India if China breaches LAC again, warns US. Follow the link to know more https://t.co/u62nbgAPYD",['😆'],1,1
101,"@mbk_center OMGG!! That poor little angel😭😭😭
This is SO heartbreaking!!💔💔

#Ukraine🙏💙🇺🇸","['😭', '😭', '😭']",0,3
102,"Our mission is to provide as much #relief to as many of those who desperately need it in #Ukraine🙏

We aim to help 175+ Ukrainian families by providing essentials such as👇

- Food🥫
- Clothing🧦
- Medical &amp; Sanitary supplies🏥

Over 4 million refugees😞

#NoWar #Peace #Russia https://t.co/sl2l9IvoLJ",['😞'],0,3
103,The #Russian world and #DNR in all their glory 😂 #RussiaUkraineWar #RussianArmy #Donetsk #PutinWarCriminal #Putin #Ukraine #Donbass https://t.co/H7kHoyW55y,['😂'],1,1
104,Goodnight #Ukraine. Stay safe people and never let the Russian army build a bridge for you. 😆 https://t.co/aaDoZEL6AM,['😆'],1,1
105,"#Australian shopping centres are carrying saturation recruitment propaganda aimed at young people who want to be heroes and travel the world .. to disgrace and death in the next foreign wars after #Afghanistan, #Iraq and #Syria .. perhaps #Ukraine and #China? 😬 https://t.co/XnkuvUuRLe",['😬'],0,6
106,"True because India can defend herself. And @POTUS is defending #Ukraine 😆

Russia won't defend India if China breaches LAC again, warns US. Follow the link to know more https://t.co/u62nbgAPYD",['😆'],1,1
107,@aniledodie I think it’s a great idea. Since it’s US who put forth this war all Ukraine refugees should met with wide open arms. It’s the right thing for #usa and #nato to do 😊,['😊'],1,1
108,"@AyaIsleemEn Everyone is talking about the deaths in #Ukraine, Meanwhile in #Palestinian today... 😭 https://t.co/xU5HTvifgF",['😭'],0,3
109,Goodnight #Ukraine. Stay safe people and never let the Russian army build a bridge for you. 😆 https://t.co/aaDoZEL6AM,['😆'],1,1
110,Goodnight #Ukraine. Stay safe people and never let the Russian army build a bridge for you. 😆 https://t.co/aaDoZEL6AM,['😆'],1,1
111,"Your chance to see wild animals #Banks #LBMA !!
Melt those #GOLD bars from #RUSSIA NOW ! 😂 Some gold refineries are refusing to remelt #Russian bars #silver #news #finance #economics #preciousmetals #Australia #Sydney #business #circus 
https://t.co/yPLfBA3HQl",['😂'],1,1
112,"They can’t wait 🤬
#Kirby: #Russian troops regrouping for redeployment https://t.co/rxLuoIEEGW via @YouTube",['🤬'],0,4
113,"This is actually pretty good. Just stop watching when you hear the name Trump. That's near the end, anyway.😆 https://t.co/jjIwzNjI1a #Ukraine #UkraineRussiaWar",['😆'],1,1
114,"@AnonymousUK2022 @Arjun799455 @narendramodi And #Germany🇩🇪 the #white supremacist #Germany still buying cheap #Russian oil and gas , 
And #USA still buying Ureninam from Russia they have tons of morality and ethics 🤣🤣🤣🤣😆","['🤣', '🤣', '🤣', '🤣', '😆']",1,1
115,Over 100 😓 19 years old children were forced to sign the contract and send to war in Ukraine 🙏 fucking animals 😡 #StopPutinNOW #StopWarInUkraine #StandWithUkraine #Anonymous https://t.co/USa7WVoOyW,"['😓', '😡']",0,sad_anger
116,Now #Russia will use our #BHIM_UPI 😍 https://t.co/y87l82cVG0,['😍'],1,1
117,Now #Russia will use our #BHIM_UPI 😍 https://t.co/y87l82cVG0,['😍'],1,1
118,"“ThE pReSiDeNt DoEsNt CoNtRoL GaS PrIcEs”.. 
Biden contradicting the WHOLE narrative in about 2.2 seconds Lol 😂 #biden #BidenGasHike #democratfails #TrumpWasRightAboutEverything",['😂'],1,1
119,"Mariupol Ukraine right now... 😢
⚡ #BreakingNews 

#Kyiv
#BREAKING
#Kiev  
#Ukraine 
#UkraineRussiaCrisis #Russian 
#Crimea #Belarus #UkraineRussia https://t.co/O5FSw3BtBv",['😢'],0,3
120,The audio to Ukrainian President syncs up really well with Lil Scrappy’s - No Problems 🤣🤣🤣 #Ukrania #UkraineRussiaWar #StandWithUkraine ✊✊✊ https://t.co/bmSDierMva,"['🤣', '🤣', '🤣']",1,1
121,"@lapatina_ This should never be a reality. This is horrific &amp; pure evil. Women all over the world are with you, heartbroken for these #warcrimes being committed. Please arm all #ukrainian women to protect themselves from this horror. Please get women &amp; children to safety. I am so sorry!!😭",['😭'],0,3
122,"I’m crying😭 i feel such an injustice when old people must witness a treacherous #war in their twilight years.. 

📍Granny thanks God for the Armed Forces of #Ukraine that entered to liberate the city.
The Ukrainian warrior apologizes for letting the Russians in earlier.. https://t.co/2ltVnyUofQ",['😭'],0,3
123,🇺🇦#Ukraine 🚀🚁💥 Welcome to Ukraine 😂😳🫣 https://t.co/CSza3KFu5l,['😂'],1,1
124,"@anti_corrupt_01 @Kasparov63 #Putin does not play dice🤣 Remember : It is NATO's fault that he attacked #Ukraine, killed woman and children, erased entire villages to the ground.... This is #Russia under Putin for you! #LiveWithIt and #EnjoyTheRide 😂","['🤣', '😂']",1,1
125,"KFC Left Russia
Russians Turned KFC into KGB &amp; Siberian Fried Chicken 😂😂
#RussiaUkraineWar #KFC https://t.co/eg3ldmksT9","['😂', '😂']",1,1
